UID,NERC,Region,Start,End,Center,Center_DOY,T_Max_Min,Duration,Regions_Impacted
HW_NERC3_Event17,3,FL,1988-06-23,1988-06-25,1988-06-24,176,94.78,3,5.0
HW_NERC3_Event18,3,FL,1988-07-31,1988-08-02,1988-08-01,214,94.49,3,8.0
HW_NERC3_Event19,3,FL,1989-05-27,1989-05-27,1989-05-27,147,93.85,1,1.0
HW_NERC3_Event20,3,FL,1989-06-03,1989-06-04,1989-06-03,154,93.63,2,1.0
HW_NERC3_Event21,3,FL,1989-06-15,1989-06-15,1989-06-15,166,93.53,1,1.0
HW_NERC3_Event22,3,FL,1989-07-10,1989-07-12,1989-07-11,192,94.8,3,2.0
HW_NERC3_Event23,3,FL,1989-08-04,1989-08-07,1989-08-05,217,95.07,4,7.0
HW_NERC3_Event24,3,FL,1989-08-24,1989-08-24,1989-08-24,236,93.68,1,1.0
HW_NERC3_Event25,3,FL,1990-06-19,1990-06-20,1990-06-19,170,95.35,2,2.0
HW_NERC3_Event26,3,FL,1990-06-30,1990-07-01,1990-06-30,181,94.09,2,4.0
HW_NERC3_Event27,3,FL,1992-07-03,1992-07-06,1992-07-04,186,94.79,4,2.0
HW_NERC3_Event28,3,FL,1992-07-08,1992-07-11,1992-07-09,191,94.32,4,1.0
HW_NERC3_Event29,3,FL,1992-07-27,1992-07-27,1992-07-27,209,93.53,1,1.0
HW_NERC3_Event30,3,FL,1993-06-07,1993-06-11,1993-06-09,160,94.66,5,1.0
HW_NERC3_Event31,3,FL,1993-07-17,1993-07-18,1993-07-17,198,94.07,2,1.0
HW_NERC3_Event32,3,FL,1993-07-28,1993-08-08,1993-08-02,214,95.27,12,5.0
HW_NERC3_Event33,3,FL,1995-06-09,1995-06-10,1995-06-09,160,93.54,2,1.0
HW_NERC3_Event34,3,FL,1995-08-14,1995-08-16,1995-08-15,227,94.62,3,7.0
HW_NERC3_Event35,3,FL,1996-07-20,1996-07-21,1996-07-20,202,94.0,2,6.0
HW_NERC3_Event36,3,FL,1996-07-27,1996-07-29,1996-07-28,210,94.27,3,3.0
HW_NERC3_Event37,3,FL,1997-07-03,1997-07-04,1997-07-03,184,94.16,2,2.0
HW_NERC3_Event38,3,FL,1998-05-21,1998-05-22,1998-05-21,141,93.66,2,1.0
HW_NERC3_Event39,3,FL,1998-05-24,1998-05-25,1998-05-24,144,93.98,2,1.0
HW_NERC3_Event40,3,FL,1998-06-01,1998-06-06,1998-06-03,154,96.64,6,2.0
HW_NERC3_Event41,3,FL,1998-06-10,1998-07-06,1998-06-23,174,99.66,27,2.0
HW_NERC3_Event42,3,FL,1998-07-09,1998-07-11,1998-07-10,191,95.56,3,3.0
HW_NERC3_Event43,3,FL,1998-08-25,1998-08-29,1998-08-27,239,96.86,5,4.0
HW_NERC3_Event44,3,FL,1998-08-31,1998-08-31,1998-08-31,243,94.35,1,3.0
HW_NERC3_Event45,3,FL,1999-07-28,1999-08-02,1999-07-30,211,97.83,6,7.0
HW_NERC3_Event46,3,FL,1999-08-12,1999-08-13,1999-08-12,224,94.03,2,5.0
HW_NERC3_Event47,3,FL,2000-05-26,2000-05-28,2000-05-27,148,94.81,3,1.0
HW_NERC3_Event48,3,FL,2000-06-02,2000-06-04,2000-06-03,155,95.75,3,1.0
HW_NERC3_Event49,3,FL,2000-06-15,2000-06-19,2000-06-17,169,94.26,5,1.0
HW_NERC3_Event50,3,FL,2000-07-16,2000-07-21,2000-07-18,200,97.11,6,4.0
HW_NERC3_Event51,3,FL,2000-08-18,2000-08-18,2000-08-18,231,93.93,1,2.0
HW_NERC3_Event52,3,FL,2002-06-03,2002-06-04,2002-06-03,154,94.84,2,1.0
