NERC_ID,start_date,end_date,duration,centroid_date,lowest_temperature
Florida,2014-01-07,2014-01-08,2,2014-01-07,273.941756391967
Florida,2014-01-17,2014-01-19,3,2014-01-18,275.617504005145
Florida,2014-01-22,2014-01-25,4,2014-01-23,273.629827995295
Florida,2014-11-19,2014-11-19,1,2014-11-19,276.238143168996
Florida,2014-12-11,2014-12-13,3,2014-12-12,276.190451236054
Florida,2015-01-08,2015-01-09,2,2015-01-08,274.484498692453
Florida,2015-01-28,2015-01-28,1,2015-01-28,276.295273987616
Florida,2015-02-13,2015-02-14,2,2015-02-13,276.737981167918
Florida,2015-02-19,2015-02-21,3,2015-02-20,273.706683632349
Florida,2016-01-19,2016-01-19,1,2016-01-19,275.702889357439
Florida,2016-01-24,2016-01-24,1,2016-01-24,275.541533847835
Florida,2016-02-09,2016-02-10,2,2016-02-09,276.199669154823
Florida,2016-11-21,2016-11-21,1,2016-11-21,276.322828907766
Florida,2017-01-08,2017-01-09,2,2017-01-08,274.9756044449
Florida,2018-01-01,2018-01-07,7,2018-01-04,271.954602038632
Florida,2018-01-14,2018-01-19,6,2018-01-16,274.231717510354
Florida,2018-11-28,2018-11-28,1,2018-11-28,276.913913395388
Florida,2020-01-21,2020-01-22,2,2020-01-21,275.359394127183
